                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1876,                 2.4285,                 1.1818,                      1,                0.04921,                0.76633,                0.51598,                0.92166,                 3.2145,                 1.0234,             0.00064912,             0.00064912,             0.00064912
                      2,                 1.1505,                 1.4567,                 1.1367,                      1,                0.94925,                0.99475,                0.69344,                 1.0269,                 2.0811,                 1.1817,              0.0013028,              0.0013028,              0.0013028
                      3,                 1.1713,                  1.312,                 1.1505,                0.97107,                0.90833,                0.96753,                0.68878,                 1.0284,                 1.1608,                 1.1612,              0.0019432,              0.0019432,              0.0019432
                      4,                 1.1373,                 1.1211,                 1.1353,                0.96649,                0.96139,                0.99089,                0.70041,                 1.0173,                0.99915,                 1.1717,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.0817,                0.94863,                 1.1176,                  0.989,                      1,                0.99467,                 0.7023,                 1.0003,                0.74664,                 1.1015,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.1163,                0.90201,                 1.1224,                0.95672,                0.92108,                0.97723,                0.62888,                 1.0968,                0.91331,                 1.2067,               0.001901,               0.001901,               0.001901
                      7,                 1.0779,                0.80586,                 1.0907,                0.96522,                0.96667,                0.99066,                  0.686,                 1.0241,                 1.0096,                 1.1523,              0.0018812,              0.0018812,              0.0018812
                      8,                  1.057,                0.76802,                 1.1083,                0.97222,                0.99167,                0.99247,                0.71575,                0.98282,                0.61696,                 1.1113,              0.0018614,              0.0018614,              0.0018614
                      9,                0.99249,                0.70651,                 1.0518,                0.99165,                0.98992,                0.99483,                0.70243,                 1.0483,                0.66547,                 1.1297,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0231,                0.70318,                 1.0709,                0.95955,                0.98853,                0.99342,                0.71055,                 1.0171,                 0.5489,                 1.1394,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.0554,                0.68929,                 1.0795,                0.99861,                      1,                  0.995,                0.71305,                0.98714,                0.52703,                 1.1118,               0.001802,               0.001802,               0.001802
                     12,                0.98777,                 0.6679,                 1.0566,                0.99097,                  0.975,                0.99412,                0.69561,                 1.0899,                0.56613,                  1.151,              0.0017822,              0.0017822,              0.0017822
                     13,                0.98276,                0.64237,                 1.0566,                0.96738,                0.98863,                0.99383,                0.71898,                 1.0099,                0.58425,                 1.1017,              0.0017624,              0.0017624,              0.0017624
                     14,                0.96529,                 0.6142,                   1.05,                0.98358,                0.99844,                0.99374,                0.71908,                0.99221,                0.49182,                 1.1237,              0.0017426,              0.0017426,              0.0017426
                     15,                0.99329,                0.61329,                 1.0599,                0.97537,                0.99012,                0.99339,                0.74035,                0.94264,                0.45024,                 1.0847,              0.0017228,              0.0017228,              0.0017228
                     16,                0.96601,                0.60516,                 1.0509,                0.99663,                      1,                  0.995,                0.73383,                0.95115,                0.44904,                 1.0902,               0.001703,               0.001703,               0.001703
                     17,                 0.9086,                 0.5631,                 1.0155,                0.98226,                      1,                0.99484,                0.72914,                0.96029,                0.48968,                  1.088,              0.0016832,              0.0016832,              0.0016832
                     18,                0.92249,                0.55787,                 1.0207,                0.98352,                      1,                0.99492,                0.71466,                 1.0179,                  0.464,                 1.1438,              0.0016634,              0.0016634,              0.0016634
                     19,                0.91556,                0.54954,                 1.0386,                0.98966,                      1,                  0.995,                0.71792,                0.97389,                0.47471,                 1.1038,              0.0016436,              0.0016436,              0.0016436
                     20,                0.91777,                0.56054,                 1.0219,                0.99167,                0.99187,                0.99467,                0.70995,                 1.0143,                0.47795,                 1.1154,              0.0016238,              0.0016238,              0.0016238
                     21,                0.89802,                0.55483,                 1.0042,                0.99712,                      1,                  0.995,                0.73315,                  0.954,                0.42968,                 1.0791,               0.001604,               0.001604,               0.001604
                     22,                0.90682,                0.55812,                 1.0316,                0.96988,                      1,                0.99252,                0.71895,                0.99867,                0.47725,                  1.129,              0.0015842,              0.0015842,              0.0015842
                     23,                0.89969,                0.54994,                 1.0202,                0.99041,                0.99167,                 0.9925,                0.71782,                0.98427,                  0.449,                 1.0903,              0.0015644,              0.0015644,              0.0015644
                     24,                0.86982,                0.52126,                 1.0081,                0.99046,                      1,                0.99483,                0.73187,                0.98731,                0.44498,                 1.0894,              0.0015446,              0.0015446,              0.0015446
                     25,                0.86127,                0.50231,                0.99318,                0.99172,                0.99832,                0.99442,                0.64947,                  1.146,                0.46491,                 1.1867,              0.0015248,              0.0015248,              0.0015248
                     26,                0.86018,                0.50299,                 1.0233,                0.97411,                0.99167,                0.99382,                0.75173,                0.95083,                0.44622,                 1.0872,               0.001505,               0.001505,               0.001505
                     27,                0.89402,                0.53675,                 1.0291,                0.97542,                      1,                0.99467,                0.72419,                0.97474,                0.42829,                 1.1215,              0.0014852,              0.0014852,              0.0014852
                     28,                0.82499,                0.49901,                0.98701,                 0.9895,                0.99167,                0.99475,                0.73655,                0.94474,                0.43513,                  1.067,              0.0014654,              0.0014654,              0.0014654
                     29,                0.84488,                0.49021,                 1.0009,                0.98891,                  0.975,                0.99425,                0.73142,                0.97445,                0.44869,                 1.0758,              0.0014456,              0.0014456,              0.0014456
                     30,                 0.8626,                 0.5061,                 1.0139,                0.98278,                0.99167,                0.99441,                0.71998,                0.98715,                0.43157,                 1.1027,              0.0014258,              0.0014258,              0.0014258
                     31,                0.81498,                0.47356,                 0.9904,                 0.9816,                      1,                0.99188,                0.72025,                 1.0197,                0.42204,                 1.0944,               0.001406,               0.001406,               0.001406
                     32,                0.85256,                0.48766,                0.99583,                0.99703,                      1,                  0.995,                0.71543,                 1.0342,                0.41645,                 1.1058,              0.0013862,              0.0013862,              0.0013862
                     33,                0.82406,                0.48232,                0.99211,                0.98852,                0.99167,                0.99258,                0.73534,                 0.9495,                0.41495,                 1.0718,              0.0013664,              0.0013664,              0.0013664
                     34,                0.79665,                0.47429,                0.98874,                0.98222,                      1,                0.99392,                0.73486,                0.94315,                0.41068,                 1.0577,              0.0013466,              0.0013466,              0.0013466
                     35,                0.80115,                0.47233,                0.97357,                0.99814,                0.99167,                  0.995,                0.73471,                0.96458,                0.39984,                 1.1065,              0.0013268,              0.0013268,              0.0013268
                     36,                0.75897,                 0.4463,                  0.968,                0.99725,                      1,                  0.995,                 0.7255,                0.96624,                0.40054,                 1.0908,               0.001307,               0.001307,               0.001307
                     37,                0.77073,                0.45349,                0.97027,                0.98996,                      1,                0.98921,                0.73899,                0.93506,                0.39467,                 1.0866,              0.0012872,              0.0012872,              0.0012872
                     38,                0.77041,                 0.4615,                0.97458,                 0.9831,                      1,                0.99492,                0.74525,                0.93738,                0.42959,                 1.0672,              0.0012674,              0.0012674,              0.0012674
                     39,                 0.7156,                0.43616,                0.96009,                0.99071,                      1,                0.99483,                0.73439,                0.99738,                 0.4113,                 1.1252,              0.0012476,              0.0012476,              0.0012476
                     40,                0.74609,                 0.4443,                0.96451,                0.99933,                      1,                  0.995,                0.74636,                0.96027,                0.39366,                 1.0806,              0.0012278,              0.0012278,              0.0012278
                     41,                0.74163,                 0.4402,                0.96427,                 0.9976,                      1,                  0.995,                0.75318,                0.94778,                0.37975,                 1.0914,               0.001208,               0.001208,               0.001208
                     42,                0.73124,                0.43051,                0.95712,                0.99539,                      1,                  0.995,                0.76842,                0.91481,                0.36682,                 1.0805,              0.0011882,              0.0011882,              0.0011882
                     43,                0.72353,                0.42796,                0.96345,                0.99434,                      1,                  0.995,                0.76368,                0.95082,                0.39195,                 1.0806,              0.0011684,              0.0011684,              0.0011684
                     44,                0.71823,                0.42267,                0.95202,                0.99173,                0.99943,                0.99475,                0.74998,                0.97259,                0.39502,                 1.0876,              0.0011486,              0.0011486,              0.0011486
                     45,                0.72074,                0.41972,                 0.9509,                0.99173,                0.99878,                  0.995,                0.73757,                0.93878,                0.40111,                 1.0927,              0.0011288,              0.0011288,              0.0011288
                     46,                0.69529,                0.41054,                0.94351,                0.99034,                0.99167,                  0.995,                 0.7414,                0.90594,                 0.3959,                 1.0724,               0.001109,               0.001109,               0.001109
                     47,                0.69092,                0.41914,                0.93464,                0.99909,                      1,                  0.995,                0.75363,                0.96795,                0.38466,                  1.095,              0.0010892,              0.0010892,              0.0010892
                     48,                0.68719,                0.40463,                0.94054,                0.99117,                      1,                  0.995,                0.74206,                0.96375,                0.39155,                  1.091,              0.0010694,              0.0010694,              0.0010694
                     49,                0.68286,                0.40364,                0.93066,                0.99744,                0.99167,                  0.995,                0.73677,                0.95359,                0.39277,                 1.0921,              0.0010496,              0.0010496,              0.0010496
                     50,                0.64469,                0.38155,                0.92041,                      1,                0.99688,                  0.995,                0.73227,                0.96049,                0.37749,                 1.0945,              0.0010298,              0.0010298,              0.0010298
                     51,                0.66734,                0.39714,                0.93631,                0.99899,                      1,                  0.995,                0.76925,                0.92346,                0.37049,                 1.0805,                0.00101,                0.00101,                0.00101
                     52,                0.66215,                0.39143,                0.91567,                0.99115,                      1,                  0.995,                0.73596,                0.99237,                 0.3968,                 1.1052,              0.0009902,              0.0009902,              0.0009902
                     53,                0.63887,                0.38094,                0.92443,                0.99111,                0.99167,                  0.995,                 0.7396,                0.96282,                 0.3721,                 1.1094,              0.0009704,              0.0009704,              0.0009704
